SCRAM,WEEK,EST_ST,EST_MSA,PWEIGHT,TBIRTH_YEAR,ABIRTH_YEAR,EGENDER,AGENDER,RHISPANIC,AHISPANIC,RRACE,ARACE,EEDUC,AEDUC,MS,THHLD_NUMPER,AHHLD_NUMPER,THHLD_NUMKID,AHHLD_NUMKID,THHLD_NUMADLT,WRKLOSS,EXPCTLOSS,ANYWORK,KINDWORK,RSNNOWRK,UNEMPPAY,PRIFOODSUF,CURFOODSUF,FOODSUFRSN1,FOODSUFRSN2,FOODSUFRSN3,FOODSUFRSN4,FOODSUFRSN5,FREEFOOD,WHEREFREE1,WHEREFREE2,WHEREFREE3,WHEREFREE4,WHEREFREE5,WHEREFREE6,WHEREFREE7,TSPNDFOOD,TSPNDPRPD,FOODCONF,HLTHSTATUS,ANXIOUS,WORRY,INTEREST,DOWN,HLTHINS1,HLTHINS2,HLTHINS3,HLTHINS4,HLTHINS5,HLTHINS6,HLTHINS7,HLTHINS8,DELAY,NOTGET,TENURE,MORTLMTH,MORTCONF,ENROLL1,ENROLL2,ENROLL3,TEACH1,TEACH2,TEACH3,TEACH4,TEACH5,COMPAVAIL,COMP1,COMP2,COMP3,INTRNTAVAIL,INTRNT1,INTRNT2,INTRNT3,TSCHLHRS,TTCH_HRS,INCOME,female,internet_access
V010000002S02022254170111,1,53,NA,715.80971284,1999,2,2,2,1,2,1,2,3,2,5,2,2,0,2,2,2,2,2,NA,1,4,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,150,0,3,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000002S03021637850112,1,02,NA,204.71272407,1978,2,2,2,2,2,4,2,4,2,1,4,2,0,2,4,2,2,1,4,NA,NA,1,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,350,0,3,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0
V010000002S04022163270111,1,02,NA,490.84364004,1954,2,2,2,1,2,4,2,4,2,3,2,2,0,2,2,2,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,700,500,4,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000002S07021081460111,1,02,NA,234.32361601,1952,2,2,2,1,2,1,2,4,2,1,2,2,0,2,2,2,2,2,NA,12,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
V010000002S07021182360112,1,02,NA,54.872447303,1950,2,1,2,1,2,1,2,7,2,3,1,2,0,2,1,1,1,2,NA,10,3,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,40,0,4,3,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0
V010000002S07021729660113,1,02,NA,21.403281846,1967,2,1,2,1,2,1,2,6,2,5,1,2,0,2,1,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,300,0,4,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0
V010000002S07021980560111,1,02,NA,135.02514088,1957,2,1,2,1,2,1,2,6,2,2,2,2,0,2,2,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,150,15,4,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0
V010000002S09020473240112,1,02,NA,42.806563692,1969,2,1,2,1,2,1,2,7,2,1,2,2,0,2,2,2,2,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,325,0,4,4,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0
V010000002S09020483240113,1,02,NA,80.851337488,1991,2,2,2,2,2,2,2,7,2,1,3,2,1,2,2,2,2,1,1,NA,NA,1,2,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,300,120,3,3,1,2,2,1,1,2,2,2,1,2,2,2,2,1,3,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0
V010000004S32040822520111,1,04,NA,1509.1227602,1992,2,2,2,2,2,1,2,5,2,5,3,2,2,2,1,2,1,1,2,NA,NA,3,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,300,100,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,1,3,2,2,1,NA,NA,1,NA,NA,NA,NA,3,NA,1,NA,3,NA,1,NA,1,32,2,1,0
